text,true_star,raw,valid_json,pred_star,explanation
"We got here around midnight last Friday... the place was dead. However, they were still serving food and we enjoyed some well made pub grub. Service was friendly, quality cocktails were served, and the atmosphere is derived from an old Uno's, which certainly works for a sports bar. It being located in a somewhat commercial area, I can see why it's empty so late on a Friday. From what my friends tell me - this is a great spot for happy hour, and it stays relatively busy thru 10pm.

*UPDATE - Great patio for day-drinking on the weekends!",4,,False,,
Brought a friend from Louisiana here.  She says that the crawfish etouffee here is the best she's had outside of Louisiana!,5,,False,,
"Every friday, my dad and I eat here. We order the same thing... pizza wraps. they are good and fillng. iced tea hits the spot. Typical strip mall pizza.",3,,False,,
"My husband and I were really, really disappointed with our experience at Coulter Infiniti.  We brought our 2006 G37 with barely 34,000 miles (and out of warranty) to have the moon roof looked at.  The moon roof wouldn't open or close, but you could hear the motor working.

After leaving the car there all day we get a call that the car needs a whole new moon roof track - which would cost over $3000.  We contacted their corporate office to attempt to get some or all of the cost covered, due to the fact that it's a big repair and the car  is barely out of warranty.  We were flat out denied.  Twice.  

We were dreading the big repair, and decided to bring the car to a different auto shop (which will get a big, fat 5 star review) for a second opinion.  Turns out the track just had a BUILD UP OF DIRT AND DEBRIS and needed to be cleaned out.  Seriously?!?!  Just over $100 later we were on our way!

I find it VERY hard to believe that Coulter didn't know this was the problem.  We are now searching for a new SUV, and will not be choosing Infiniti.  How disappointing.",1,,False,,
"Love this place!  Was in phoenix 3 weeks for work.  Ate here 3 times.  The squid salad is amazing!  They also have sushi, bibimbap, and tons of other items.  Must try!",5,,False,,
"This hotel is in a good location for getting to the sports venues downtown, the convention center or to just be in the heart of the city. Granted, it is about a 7 block walk to most of those places, but the lower price and FREE parking definitely make it worthwhile. I usually stay in Scottsdale when i am here for spring training, but I was here for a conference and walked to the convention center each day with no problems. It made sense to be downtown instead of Scottsdale. The hotel is clean, the rooms are nice and big and the free breakfast is decent. I did not visit the pool, so I cannot comment on it. Someone mentioned the area being shady, i walked to and from here at least twice a day including late night and never felt it was a bad area. Also, the review about passing cars was not an issue for me. I was on the street side and I'm a light sleeper. Maybe their window was open?  i do agree that you can hear your neighbors in the bathroom, slightly annoying. In, summary - this hotel is a great choice and if the need arises, I'd stay again.",4,,False,,
"I love that this place has top seafood plates and choices. The services is hit and miss but once i went in with three friends and we sat at the sushi bar and they saw we weren't getting service they grabbed our order right away. Happy hour is good and drinks aren't expensive anyhow so drinkers celebrate! Cherry roll (i do it without sauce), octopus, anything with their eels, i love the quality of salmon as well. The best part is that FOOD IS SERVED TILL 2AM!!",4,,False,,
Awesome if you like ramen...even awesomer if you like boba tea!!!,4,,False,,
"Great place for a ""home office"" morning. One of my favorite places - indoor & outdoor seating. Always busy - they offer breakfast & lunch, their food is awesome! Very generous portions.",5,,False,,
"1 star for service, but the food is not ok :( they literally put 4 pieces of chicken on my taco. I let that go & figured was a mistake. When I went again, ordered different item & same result. Little to no meat. I will not be going back.",1,,False,,
"Good food and able to manage a large group easily. Our party had 11 and there wasn't a long wait at all. Highlights: spinach and artichoke dip, onion rings, and tortilla soup. Total tab was only $160 for the whole group.",4,,False,,
"This place is great!
If you talk to anybody they have a suggestion for a great flavor.
You can bring in food from another place to enjoy and just enjoy a great atmosphere.
With the music that someone has an issue with you can just talk to the DJ to get a suggestion they are MORE than accommodating.
They have a great happy hour prices! 
Overall great prices, great people, and a great time! If you have the right mind :)",5,,False,,
Air Jordan! need I say more?,3,,False,,
"There are many other reviews which extol the virtues of this location. I just wanted to add some of my experiences as well as a few observations.

First off, at the time of this writing I've been in Phoenix for about a year. Learning about all the necessary places to go in a new town, I had the opportunity to rate businesses objectively (not like 'My mom always went there so I do too...')

Fry's became a standard 'go to' place. Their hours are great (5 AM to 1 AM). There are many locations, and their prices are very competitive. They also have a convenient VIP card and electronic coupon program.

Specifically to my needs, this location has a good pharmacy, an organic/health selection and a well stocked bakery and deli (for parties and special occasions). Their parking is reasonable and the lot is well kept/secure. There's also a Chase branch nearby as well as a Best Buy, Staples and Old Navy. On Wednesdays there's a Farmer's Market just across the street for everything else I can't find here.

Not all Fry's carry the same things. For instance, I can only depend on this location to carry pita bread, garlic naan, large Fage yogurt as well as the Mexican version of creme fraiche. I appreciate this greatly.

One word of caution, be firm with the staff at the deli. Take a number, insist on their attention, and don't let them gyp you with small wings or the bottom of the pasta selection. I know some of them don't care about their job, but don't let that ruin your experience. Remember: they're probably making minimum wage.

Oh, and the other reviewer's comment about the parking is accurate, although I'm not sure what they can do about it as this is a mall complex.",4,,False,,
"TJ was there for me when my water heater broke and started flooding my garage.  He walked me through fixing it over the phone until he was able to send some help to my house.  Very grateful, and I will continue referring!",5,,False,,
"So I was pretty excited about this burger joint opening since it's President Obama's favorite... 
The burger was good. Not great, not bland, just okay. My biggest hang up with this restaurant are the prices! Skip the beverage... it's very over priced. I was also not impressed with the fries- regular or cajun. They were pretty average as well. Stick with the burger and skip the rest is my suggestion to you.",2,,False,,
"I really don't consider myself a Neiman's type of girl...
As a matter of fact, I don't really feel comfortable in Neiman's - it's extremely 'fancy' and high end for me.  But, I've gone in a handful of times and even bought a dress or two on sale at Neiman's in the past.  I admit, the quality associated with the designer labels at this store is pretty amazing.

Anyways, I felt some major pressure to register at Neiman's from my mom, so I met my mother-in-law-to-be at this Neiman's location on Sunday.  The housewares / registry department is extremely small... and although the woman working was sweet, she botched the spelling of Jared's name in the process.  Needless to say, i was not so impressed.

Fancy sums this department store up in my eyes - I'm much more of a Nordstrom's or Macy's or Bloomingdales type of girl!",4,,False,,
"I have been trying to reduce my caloric intake and found out that at Red Robin you can order a ""petite"" burger. It is smaller but has the same toppings you order on the regular. So for those of you that don't want to have a burger that is 1000 calories (yes they are and more with the endless fries) , try the petite.",4,,False,,
Great pizza and awesome must have guacamole pizza appitizer!!!!,5,,False,,
"This is a quaint little airport which is very convenient if you are travelling to the Tempe/Mesa area, or already know people who live there.  I say it's convenient-- if you are flying in from Grand Island or Grand Forks or Rapid City or East Bugtussel, since the only commercial tenant at this decomissioned air force base is Allegiant Airlines, which specializes in flying you from nowhere to somewhere (Phoenix, Las Vegas, Orlando that sort of thing).  

But from landing to sitting in my rental car it was maybe 20 minutes tops and I was heading out to lunch in the Phoenix area (don't bother with purchasing the ""snacks"" on the flight, just make sure you are prepared beforehand).",5,,False,,
